Cluster,Instruction,ACTION,QUANTITY,UNIT,INGREDIENT,TOOL,TEMPERATURE,STATE,GARNISH
4,Hard shake for 10 seconds until the shaker is frozen,shake | hard shake,10,seconds,,shaker,,frozen,
1,"Lightly tap the basil bouquet to release fragrance, then insert the bouquet with a lemon peel to garnish",,,,basil | lemon,,,,
2,"Gently warm 2 oz of milk on the stove or in the microwave until it’s just hot, but not boiling",,2,oz,milk,,hot | warm,boiling,
1,Garnish with a Raspberry and a Hibiscus Flower,,,,hibiscus,,,,flower | raspberry
5,Serve immediately and enjoy this refreshing and vibrant drink!,serve,,,,,,,
0,Garnish with a half slice of orange,,,slice,orange,,,,
1,"Transfer to a container, cover, and refrigerate until cold, about 1 hour",refrigerate | transfer,1,hour,,container,cold,,
2,"Pour the vodka, lime juice and cranberry juice into a collins glass 3/4 filled with ice cubes",pour,3/4,cubes,cranberry juice | lime juice | vodka | ice,collins glass,,,
0,"Pour the champagne, triple sec, mandarin liqueur, and grapefruit juice into a champagne flute",pour,,,grapefruit juice | champagne | triple | sec,champagne flute,,,
1,Pour 20 oz of cola into a large glass,pour,20,oz,cola,glass,,,
2,Add the vodka and apple schnapps,add,,,vodka | apple,,,,
3,Add Ice or Water,add,,,ice | water,,,,
2,"Serve immediately and enjoy the colorful, fruity delight",serve,,,,,,,
3,Stir with a bar spoon for 20 seconds to dilute the drink,stir | dilute,20,seconds | bar spoon,,bar spoon,,,
1,Garnish with a cinnamon stick on the rim of the glass,rim,,,,glass,,,cinnamon stick
2,Shake well and strain the mixture into a champagne flute,shake | strain,,,champagne,champagne flute,,,
0,Combine all remaining ingredients in a mixing glass with ice and stir until chilled,stir | combine,,,ice,glass,chilled,,
3,Garnish inside of glass with chocolate syrup,,,,,glass,,,chocolate syrup
2,Keep the sprees and enjoy them as a fun treat,,,,,,,,
3,"In a cocktail shaker, combine 1/4 oz sweet vermouth and 1.5 oz Irish whiskey with ice",combine,1/4 | 1.5,oz,sweet vermouth | irish whiskey | ice,shaker,,,
4,"Prepare a chilled glass by rinsing it with the salt solution, then discarding the excess",prepare,,,salt,glass,chilled,,
5,Add Jim Beam bourbon whiskey to the shaker,add,,,bourbon whiskey,shaker,,,
3,Add milk and chocolate pudding mix to bowl and combine before pouring over chocolate vodka and Irish cream,add | mix | combine,,,chocolate vodka | irish cream | chocolate | milk,bowl,,,
4,"Fire cocktail right away and enjoy its bold, fiery taste",taste,,,,,,,
1,Strain the fruity mix into a chilled martini glass,strain | mix,,,,martini glass,chilled,,
3,Shake the mixture well until chilled and the flavors are thoroughly combined,shake,,,,,chilled,,
0,Build a glass using sour belts and crushed ice,build,,,ice,glass,,crushed,
2,"In a mixing glass or other large glass, add the vodka, St Germain, fresh lemon juice, and bitters",add,,,lemon juice | st germain | vodka,glass,,,
0,"Pour in the vodka, peach liqueur, sloe gin, and orange juice",pour,,,orange juice | vodka | gin | peach,,,,
2,Add Lime Juice Add 3 drops of lime juice to the mixture,add,3,drops,lime juice,,,,
3,Garnish with a lime wheel and finish with 3 dashes of Angostura bitters,finish with,3,dashes | wheel,angostura bitters,,,,lime wheel
2,"Serve immediately and enjoy the creamy, comforting flavors of the Brandy Milk Punch!",serve,,,brandy | milk,,,,
2,Decorate with the remaining mint leaves and perhaps some lime slices,,,slices,mint leaves | lime,,,,
1,Place 2 quarts sliced strawberries in a medium bowl,place,2,quarts,,bowl,,iced,
3,"Refrigerate until set, about 3 to 4 hours",refrigerate,3 | 4,hours,,,,,
3,"Gently muddle the lime juice, mint, and syrup in a shaker",muddle,,,lime juice | syrup,shaker,,,
5,Pour in the lemon rum,pour,,,rum | lemon,,,,
5,Quickly flip a chilled glass onto the smoking wood,,,,,glass,chilled,,
0,"In a cup filled with ice cubes, pour 2 oz of vodka, 4 oz of peach schnapps, 4 oz of orange juice, and 4 oz of fruit punch",pour,2 | 4,oz | cup | cubes,peach schnapps | orange juice | vodka | ice,cup,,,
0,Serve immediately and enjoy your Caribbean Catholic Cocktail!,serve,,,,,,,
3,Enjoy your Calpol Cocktail!,,,,,,,,
4,"If you want it sweeter, make a little more by boiling together 2 parts water and 1 part granulated sugar until the sugar dissolves",,2 | 1,part,sugar | water,,,boiling,
4,"In a highball glass, add the sugar, mint leaves, and a splash of the club soda",add | splash,,splash,mint leaves | club soda | sugar,highball glass,,,
1,"Place the peach schnapps, vodka, orange juice, triple sec, and lime juice in a cocktail shaker",place,,,peach schnapps | orange juice | lime juice | vodka | triple | sec,shaker,,,
4,"Gently add 0.5 oz of grenadine syrup to the glass, allowing it to settle at the bottom without stirring",add | settle,0.5,oz,grenadine syrup,glass,,,
5,"Pour 1 cup of ice cream, 1/4 cup chocolate sauce, 3/4 cup milk, and Irish cream to taste into a blender",pour | taste,1 | 1/4 | 3/4,cup,irish cream | ice cream | chocolate | milk,blender | cup,,,
2,Dust the top with freshly grated nutmeg,top,,,,,,grated,nutmeg
1,Drop the shot glass into the taller glass,drop,,drop | shot,,shot glass | glass,hot,,
2,Place in freezer until solid,place,,,,,,,
0,Add 4 mint leaves and lightly muddle again,add | muddle,4,,mint leaves,,,,
2,"In an ordinary glass, pour in 2 oz of coconut rum",pour,2,oz,coconut rum,glass,,,
4,"Add 1 oz cherry brandy, ½ oz maraschino liqueur, and ½ oz peach liqueur to the shaker",add,1 | ½,oz,maraschino liqueur | brandy | peach,shaker,,,cherry
4,"Shake the mixture vigorously to ensure the egg white froths up nicely, creating a smooth texture",shake,,,egg white,,,,
2,Stir the ingredients until well mixed and chilled,stir,,,,,chilled,,
3,Pour 1 oz bourbon whiskey and 1 oz peach liqueur over the ice,pour,1,oz,bourbon whiskey | peach | ice,,,,
5,Pour 5 oz of cola over the ice,pour,5,oz,cola | ice,,,,
1,Double-strain into a rocks glass with one large ice cube,strain,,cube,ice,rocks glass,,,
0,"Mix ingredients in glass over ice, stir, garnish and serve in highball glass",stir | mix | serve,,,ice,highball glass | glass,,,
1,"Shake well, strain into a chilled cocktail glass, and serve",shake | strain | serve,,,,cocktail glass,chilled,,
1,Strain into chilled highball glass,strain,,,,highball glass,chilled,,
0,"Open can, pour and serve in a chilled cocktail glass",pour | serve,,,,cocktail glass,chilled,,
3,Pour into an old-fashioned glass and garnish with the cherry and the orange slice,pour,,slice,orange,glass,,,cherry
0,"Gradually heat the beer to 150˚F, stirring every few minutes",heat,150,minutes,beer,,,,
4,Garnish with a spritz of tobacco bitters dispensed from an atomizer and a mint bouquet,,,,,atomizer,,,
3,Pour into ice cube tray and place in freezer,pour | place,,cube,ice,tray,,,
3,Garnish with a pitted Castelvetrano olive and lemon twist on a pick,,,,,,,,lemon twist | olive
3,"In a blender, combine 0.5 part tequila, 1 part melon liqueur, and 2 parts sour mix",mix | combine,0.5 | 1 | 2,part,melon liqueur | tequila,blender,,,
2,"Combine all ingredients in a shaker with ice, shake and strain into glass",shake | strain | combine,,,ice,glass | shaker,,,
1,Stir the liquors with ice,stir,,,ice,,,,
1,"In a shaker filled with ice, pour 1 oz Advocaat liqueur, 0.5 oz coconut rum, a splash of peach liqueur, and 2 oz pineapple juice",pour | splash,1 | 0.5 | 2,oz | splash,pineapple juice | coconut rum | peach | ice,shaker,,,
0,Garnish with the remaining orange slice and cherry for a colorful finish,,,slice,orange,,,,cherry
4,Blow out flame and shoot,flame,,,,,,,
1,Stir to mix using a spoon,stir | mix,,,,spoon,,,
1,Add 1 oz of pineapple juice to the glass,add,1,oz,pineapple juice,glass,,,
3,Add a bit of tonic water if desired,add,,,tonic water,,,,
2,Fine strain into a chilled Shooter Glass,strain | fine strain,,,,glass,chilled,,
5,Shake well until the mixture is thoroughly chilled and well blended,shake,,,,,chilled,,
4,"Serve immediately and enjoy the bold, sweet flavors",serve,,,,,,,
3,"Combine ingredients in a shaker, fill with ice, and shake",shake | combine | fill,,,ice,shaker,,,
2,Serve immediately and enjoy your Blood Orange Cosmopolitan Cocktail,serve,,,blood orange,,,,
2,Add 1 oz of Irish cream as the third layer,add | layer,1,oz,irish cream,,,,
0,Grate cinnamon over the top of the drink,top | grate,,,cinnamon,,,,
3,"Muddle the mixture, and then add the remaining ingredients",add | muddle,,,,,,,
3,"Garnish to tiki excess with a lime wheel, a banana slice, or edible flowers",,,slice | wheel,banana,,,,lime wheel | edible flowers
5,Add lemon gelatin mix and stir until dissolved.Pour vodka into a 2-cup liquid measure; add enough ice to make 1 1/4 cups,add | pour | stir | mix | measure,2 | 1 1/4,cup,vodka | lemon | ice,cup,,dissolved,
5,"In a glass with ice, combine cinnamon whiskey and rum cream",combine,,,rum | whiskey | cinnamon | cream | ice,glass,,,
1,"Add ice, shake again until chilled, then strain into a chilled glass",add | shake | strain,,,ice,glass,chilled,,
1,"Blend mixture until ice is evenly chopped and mixture is slushie-consistency, adding more ice if desired",blend,,,ice,,,,
3,"Shake thoroughly, strain into a chilled cocktail glass and garnish with cherry",shake | strain,,,,cocktail glass,chilled,,cherry
0,"You will want about two ounces of lime juice, so it may not require all of the juice from a single lime",,,ounces,lime juice | lime,,,,
3,Stir and finish with a cap of crushed ice,stir | finish with,,,ice,,,crushed,
5,Add all ingredients to blender,add,,,,blender,,,
1,Garnish with a dehydrated lime wheel and dried sorrel,,,wheel,,,,,lime wheel
3,Add the blueberries and raspberry liqueur to the shaker and muddle,add | muddle,,,,shaker,,,raspberry
1,"In a blender, combine 1 oz black raspberry liqueur, 1 oz melon liqueur, and 4 oz vanilla ice cream",combine,1 | 4,oz,melon liqueur | ice cream | vanilla,blender,,,raspberry
3,Add all the ingredients to mixing tin and fill to the top with cubed ice,add | top | fill,,,ice,,,,
3,Shake all ingredients and strain into an tall glass filled with crushed ice,shake | strain,,,ice,glass,,crushed,
3,"Pour the passion-fruit liqueur, tequila, triple sec, lime juice, sugar syrup, and cracked ice into a blender",pour,,,passion-fruit liqueur | sugar syrup | lime juice | tequila | triple | sec | ice,blender,,,
2,"Slowly pour the grenadine syrup on top, allowing it to settle at the bottom for a beautiful layered effect",pour | top | settle | slowly pour,,,grenadine syrup,,,,
0,"Top with crushed ice, fill with chilled cider",top | fill,,,ice | cider,,chilled,crushed,
4,"Add the bourbon whiskey, Scotch whiskey, vodka, and gold tequila",add,,,bourbon whiskey | scotch whiskey | gold tequila | vodka,,,,
2,Add the herbal liqueur and coconut rum first,add,,,herbal liqueur | coconut rum,,,,
2,Add a dash of dry vermouth to the glass,add,,dash,dry vermouth,glass,,,
4,Garnish with a Mango Slice,,,slice,mango,,,,
5,"Pour 1.5 oz of white rum and 1 oz of blue curacao liqueur into a tall, narrow glass",pour,1.5 | 1,oz,curacao liqueur | white rum,glass,,,
0,"In a 1-quart jar, add the vodka, fresh orange peel, and dried bitter orange peel",add,1,quart,vodka,jar,,,orange peel
0,Stir gently to mix the brandy and soda without losing the carbonation,stir | mix,,,brandy,,,,
3,Top with 10 oz lemonade,top,10,oz,lemonade,,,,
1,"Pour the jello mix into a ghost mold, over a tray",pour | mix,,,,tray,,,
4,"In a cocktail shaker, pour 1 ounce light rum, 1 ounce gold rum , 1 ounce unsweetened pineapple juice, 1 ounce freshly squeezed lemon juice, 1 ounce fresly squeezed lime juice, 1 ounce passion fruit syrup, 1/2 ounce simple syrup , and 1 dash aromatic bitters",pour | light,1 | 1/2,ounce | dash,passion fruit syrup | pineapple juice | simple syrup | lemon juice | lime juice | light rum | gold rum,shaker,,,
1,"Garnish with a Lime Wedge, Cucumber Slice and Strawberry",,,slice,,,,,cucumber slice | lime wedge | strawberry
2,"Pour the strawberry schnapps, orange juice, and cranberry juice over ice in a highball glass",pour,,,cranberry juice | orange juice | ice,highball glass,,,strawberry
1,Garnish with a Drizzle of Liquid Caramel and a Mint Sprig,drizzle,,,,,,,mint sprig
2,Strain into a chilled Champagne flute,strain,,,champagne,champagne flute,chilled,,
3,"The fresh berries add a pop of color, and the mint provides a refreshing aroma and taste",add | taste,,,,,,,
5,"In a large shot glass, carefully layer 1 oz of coffee liqueur",layer | carefully layer,1,oz | shot,coffee liqueur,shot glass,hot,,
0,"Add jello to hot water, stir and leave to cool",add | stir | cool,,,water,,hot,,
3,"Garnish with a slice of orange and lime for a bright, citrusy touch",,,slice,lime | orange,,,,
5,Pour 1.5 oz pepper vodka and 1.5 oz cinnamon schnapps into the glass,pour,1.5,oz,cinnamon schnapps | pepper vodka,glass,,,
3,Serve with a Shot Glass of chilled Champagne to the side,serve,,shot,champagne,shot glass,hot | chilled,,
1,Muddle until the mint is slightly bruised,muddle,,,,,,,
5,Garnish with 3 lime wheels and a cherry,,3,wheels,lime,,,,cherry
1,Fold a lemon wheel and fold it into the lip of a shot glass,fold,,wheel | shot,,shot glass,hot,,lemon wheel
4,Stir the mixture gently and serve immediately,stir | serve,,,,,,,
0,Allow to infuse for at least 48 hours,infuse,48,hours,,,,,
0,"Combine the Scotch, pisco, syrup, lemon juice, and jam in a shaker with ice",combine,,,lemon juice | scotch | pisco | ice | syrup,shaker,,,
2,Add creme de cassis to a wine glass,add,,,creme de cassis | wine,wine glass,,,
1,Garnish with pink grapefruit,,,,grapefruit,,,,
5,Top with a cherry or a dash of bitters for garnish,top,,dash,cherry,,,,
0,"In the clean blender jar, add the remaining 1 ounce of rum, cream of coconut, pineapple juice and 1 cup crushed ice and blend until smooth",add | blend,1,ounce | cup,pineapple juice | rum | coconut | cream | ice,blender | cup | jar,,crushed,
4,Lime the rim of can and dip into salt,rim | dip,,,lime | salt,,,,
1,"Combine all ingredients except beer, and shake with ice",shake | combine,,,ice | beer,,,,
0,"Top off the glass with soda water, filling it to your desired level",top | top off,,,soda water,glass,,,
1,Microwave for 10 to 20 seconds,,10 | 20,seconds,,,,,
0,"Pour the mixture into an old-fashioned glass and serve right away to enjoy its crisp, refreshing flavor",pour | serve,,,,glass,,,
3,Strain into martini glass. * Earl Gray gin steep a teaspoon of loose Earl Gray tea in 2 dl gin for at least 2 hours,strain | steep,2,teaspoon | dl | hours,gin | tea,martini glass,,,
2,Pour 2 oz passion-fruit liqueur and 2 oz tropical-fruit liqueur over the ice,pour,2,oz,tropical-fruit liqueur | passion-fruit liqueur | ice,,,,
5,Decant and chill,decant,,,,,,,
5,Shake well until the pearl dust is fully mixed and the liqueur shimmers,shake,,,,,,,
3,"Slowly pour the coffee over a bar spoon into the drink, which will settle on top",pour | top | settle | slowly pour,,bar spoon,coffee,bar spoon,,,
3,Stir until well-chilled,stir,,,,,chilled,,
2,Pour 0.5 pint of lager beer into a pint glass,pour,0.5,pint,beer,glass,,,
5,"Pour the hot syrup over the vanilla bean, cover, and let stand for 8 to 10 hours",pour | let stand,8 | 10,hours,vanilla | syrup,,hot,,
1,"In a bowl, whisk together egg whites and sugar until stiff peaks form",whisk,,,egg whites | sugar,whisk | bowl,,,
4,"In a glass, mix 1 oz coffee liqueur, 1 oz almond liqueur, and 5 oz ice cream",mix,1 | 5,oz,coffee liqueur | almond liqueur | ice cream,glass,,,
3,Chill in the refrigerator for 10 minutes.Divide the strawberry mixture among three champagne flutes,divide,10,minutes,champagne,,,,strawberry
1,Drop in pomegranate seeds for garnish,drop,,drop,pomegranate,,,,
3,Combine all ingredients in a blender and blend at high speed until smooth,blend | combine,,,,blender,,,
5,Top with a can of energy drink,top,,,,,,,
5,"Garnish with a slice of pineapple, orange, or lemon, and a cherry",,,slice,lemon | orange | pineapple,,,,cherry
0,"Top with more ice, mounding it like a snow cone",top,,,ice,,,,
1,"Pour 2 oz of Canadian whisky, 0.75 oz of lime juice, 0.5 oz of sugar syrup, and 1 teaspoon of grenadine syrup into a cocktail shaker filled with ice",pour,2 | 0.75 | 0.5 | 1,oz | teaspoon,grenadine syrup | sugar syrup | lime juice | whisky | ice,shaker,,,
4,Add the ingredients except Prosecco to the glass followed by ice,add,,,prosecco | ice,glass,,,
2,Margo’s Chile Salt: Add 2 parts of kosher salt to 1 part Aleppo pepper and a dash of cayenne,add,2 | 1,dash | part,kosher salt | salt | pepper,,,,
5,"In a blender, combine 1 peeled and sliced peach, 1 tbsp lime juice, 1 tsp superfine sugar, and 2 oz white rum",combine,1 | 2,oz | tbsp | tsp,lime juice | white rum | peach | sugar,blender,,iced,
3,Divide the Campari and vermouth between 2 glasses,divide,2,,campari,glasses,,,
1,Keep the remainder refrigerated; use within 1 month,,1,,,,,refrigerated,
3,"Squeeze in the lemon wedge and stir gently, then serve",stir | serve | squeeze,,,,,,,lemon wedge
5,"Pour the tequila, apple brandy, triple sec, lemon juice, and maple syrup into a cocktail shaker half-filled with ice cubes",pour,,cubes,lemon juice | maple syrup | tequila | brandy | apple | triple | sec | ice,shaker,,,
4,"Pour 1.5 oz of Irish whiskey, 0.75 oz of sweet vermouth, and 1 dash of orange bitters into a mixing glass filled with ice",pour,1.5 | 0.75 | 1,oz | dash,sweet vermouth | orange bitters | irish whiskey | ice,glass,,,
3,Garnish with a cinnamon stick and apple wheel if desired,,,wheel,apple,,,,cinnamon stick
3,Pour whiskey and sour apple schnapps into a shot glass and serve,pour | serve,,shot,whiskey | apple,shot glass,hot,,
0,"Infuse for about 24 hours and check to taste, leaving to infuse longer if desired",infuse | taste,24,hours,,,,,
1,"In a dessert glass or bowl, place a scoop of ice cream",place,,scoop,ice cream,glass | bowl,,,
3,Allow chocolate to dry,,,,chocolate,,,,
2,Start by chilling a highball glass in the freezer,,,,,highball glass,,,
0,Garnish with an orange slice/wedge and a cherry spear,,,slice,orange,,,,cherry
1,Fill the glass with 4 oz of milk,fill,4,oz,milk,glass,,,
2,Top off with 1.5 oz of soda water,top | top off,1.5,oz,soda water,,,,
5,Combine all ingredients in a cocktail shaker half-filled with ice cubes,combine,,cubes,ice,shaker,,,
2,Shake the mixture well to ensure all the flavors are thoroughly blended and chilled,shake,,,,,chilled,,
5,Strain into a short glass filled with ice,strain,,,ice,glass,,,
0,Add the other ingredients and lots of ice,add,,,ice,,,,
4,"Add all the ingredients to the mixing tin, and fill with ice",add | fill,,,ice,,,,
4,Add ice to the glass and top with 1 oz soda water,add | top,1,oz,soda water | ice,glass,,,
4,Garnish with an orange slice for an extra touch of tropical flair,,,slice,orange,,,,
3,Pour over limoncello,pour,,,limoncello,,,,
1,In a shot glass combine vanilla vodka and irish cream,combine,,shot,vanilla vodka | irish cream,shot glass,hot,,
3,This strained liquid is now chestnut milk,,,,milk,,,strained,
4,"Strain the mixture into a hurricane glass, letting the flavors pour smoothly into the glass",pour | strain,,,,hurricane glass | glass,,,
3,Garnish with a Lemon Wedge and Blackberries,,,,,,,,lemon wedge
2,Strain the liquid into a chilled cocktail glass,strain,,,,cocktail glass,chilled,,
2,Then wet the rim with a piece of citrus fruit by running it around the edge,rim,,piece,,,,,
3,"Fill a cocktail shaker with ice; add gin, Cointreau, and lime juice",add | fill,,,lime juice | gin | cointreau | ice,shaker,,,
2,Drop the shot glass into the other glass and drown the drink,drop,,drop | shot,,shot glass | glass,hot,,
4,"Add the white rum, curaçao, lime juice and orgeat into a shaker with crushed ice and shake lightly",add | shake,,,lime juice | white rum | ice | orgeat,shaker,,crushed,
3,"Pour the contents of the blender into each glass until half-full, and then to just below the lip",pour,,,,glass | blender,,,
3,Strain into a chilled Martini Glass,strain,,,,martini glass,chilled,,
1,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice",combine,,,lemon juice | gin | sugar | ice,shaker,,,
4,Pour the top layer over the Irish cream mixture,pour | top | layer,,,irish cream,,,,
1,Taste,taste,,,,,,,
1,"If too thin, add more ice cream",add,,,ice cream,,,,
0,"Top the vodka with 105 ml of iced tea, letting it mix naturally with the melting ice",mix | top,105,ml,vodka | tea | ice,,,iced,
1,Garnish with a cherry and orange half-moon,,,,orange,,,,cherry
2,Set the glass aside to let the caramel solidify completely,,,,,glass,,,
3,"Pour in 2 oz vodka, 1 oz triple sec, 1 oz sours, 4 oz orange juice, and 4 oz fruit punch in that order",pour,2 | 1 | 4,oz,orange juice | vodka | triple | sec,,,,
1,Garnish with a pineapple stick for a tropical flair,,,,pineapple,,,,
5,Enjoy your warm and comforting Nudge cocktail,,,,,,warm,,
3,"Enjoy the tropical, fruity flavors of the Green Wave Cocktail",,,,,,,,
1,Start by pouring 1 oz peach schnapps over ice in a highball glass,,1,oz,peach schnapps | ice,highball glass,,,
1,"Serve immediately and enjoy the tropical, fruity flavors of the Blue Parrot",serve,,,,,,,
0,"In a mixing glass half-filled with ice cubes, pour 1.5 oz of aged rum, 0.5 oz of bourbon whiskey, and 0.5 oz of dark crème de cacao",pour,1.5 | 0.5,oz | cubes,bourbon whiskey | aged rum | ice,glass,,,
1,"Transfer the mixture to the ice cream maker , then freeze according to the manufacturer's instructions",freeze | transfer,,,ice cream,,,,
3,"Stir until cold, then strain into cocktail glass",strain | stir,,,,cocktail glass,cold,,
3,"Ice is optional in this drink -- in my opinion, ice wastes space, so the following recipe will be for a tall drink",,,,ice,,,,
1,Garnish with a orange twist,,,,,,,,orange twist
0,Take a big sip or pour out around 1 1/2 oz of the bottle,pour | sip,1 1/2,oz,,bottle,,,
1,"Combine all ingredients, except the coconut milk, in a clean wide-mouthed container",combine,,,coconut milk,container,,,
5,Add a little crushed ice to the glass,add,,,ice,glass,,crushed,
2,"Serve immediately and enjoy the bright, citrusy flavors",serve,,,,,,,
1,Fill an empty bottle with crushed green hard candies and rum,fill,,,rum,bottle,,crushed,
5,Add ice until the mixture becomes smooth,add,,,ice,,,,
3,Strain into the sugar-rimmed coupe glasses,strain,,,sugar,glasses,,,
3,Bottle the chocolate bitters in small jars with a tight seal and store them at room temperature,,,,chocolate bitters,bottle,room temperature | room temp,,
3,"Optionally, squeeze a lime wedge over the drink for an extra citrus kick, and use the wedge as a garnish on the rim of the glass",rim | squeeze,,,lime,glass,,,
3,Allow to cool and add condensed milk and peppermint schnapps,add | cool,,,peppermint schnapps | milk,,,,
1,Separate sour skittles by color and place into empty bottles,place | separate,,,,,,,
1,Coat rims of 2 shot glasses with chile powder and set aside,coat | set aside,2,shot,,glasses,hot,,
1,Salt the rim of the Coupe Glass Shake all ingredients with Ice,shake | rim,,,salt | ice,coupe glass,,,
2,"In a glass filled with ice, combine 2 oz Canadian whisky, 2 oz vodka, 1.5 splashes cola, and 1.25 oz ginger ale",combine,2 | 1.5 | 1.25,oz | splashes,ginger ale | vodka | whisky | cola | ice,glass,,,
5,"In a lowball glass, stir the bourbon, maple syrup, and bitters",stir,,,maple syrup | bourbon,glass,,,
2,Pour 1.5 oz rye whiskey and 1.5 oz gin into an old-fashioned or rocks glass,pour,1.5,oz,rye whiskey | gin,rocks glass,,,
0,"Combine the Contratto, Campari, juices and passion fruit liqueur in a mixing glass with ice",combine,,,passion fruit liqueur | campari | ice,glass,,,
5,Strain into martini glass and lite the cointrue flow the fire cointrue on top,strain | top,,,,martini glass,,,
5,Garnish with an orange twist and a cherry,,,,,,,,orange twist | cherry
2,Add the rest into your chilled coupe glass,add | rest,,,,coupe glass,chilled,,
1,Stir this mix until all the gelatin is dissolved,stir | mix,,,,,,dissolved,
0,"In a shaking glass with ice, combine tequila, cointreau, lime juice, and a splash of Agave syrup",combine | splash,,splash,agave syrup | lime juice | tequila | cointreau | ice,glass,,,
1,Ladle 3-ounce servings into punch cups,,3,ounce | cups | servings,,ladle,,,
0,"Strain into a glass, then garnish",strain,,,,glass,,,
4,Serve immediately and enjoy the sweet peach vodka bliss,serve,,,peach vodka,,,,
0,Pour watermelon pucker into base of shot glass and add a splash of grenadine,add | pour | splash,,splash | shot,watermelon | grenadine,shot glass,hot,,
1,"Bring to a boil, then reduce to low heat for 5 minutes",heat | boil | reduce,5,minutes,,,,,
0,"To give the cocktail a grapefruit aroma, spray oils from the grapefruit zest on top of the cocktail",top | spray,,,grapefruit,,,,
0,"Finish by layering 0.5 oz Benedictine herbal liqueur over the crème de cacao, again using the back of a spoon to pour it slowly",pour,0.5,oz,herbal liqueur | benedictine,spoon,,,
1,Garnish with a lime or lemon wedge,,,,lime,,,,lemon wedge
5,"Shake vigorously for 20 to 30 seconds, until the cocktail is frothy",shake,20 | 30,seconds,,,,,
0,Strain to remove seeds,strain,,,,,,,
5,Refrigerate until solid before cutting into squares,refrigerate,,,,,,,
3,Top off the glass with a pineapple wedge,top | top off,,,,glass,,,pineapple wedge
4,"Rim a cocktail glass by giving it a quick dip in a small dish of Irish cream liqueur , then roll it in a dish of colored sugar or candy sprinkles",rim | roll | dip,,,cream liqueur | sugar,cocktail glass | dish,,,candy
0,"Pour into a clean glass jar, cover and set aside for 1 week, stirring daily",pour | set aside,1,,,glass | jar,,,
5,Stir lightly to combine the flavors,stir | combine,,,,,,,
1,"Garnish with an orange slice, and serve immediately",serve,,slice,orange,,,,
3,Graham Cracker-Infused Cream: Crumble 4 cinnamon graham crackers and add to 8 ounces of heavy cream,add,4 | 8,ounces,heavy cream | cinnamon | cream,,,infused,
2,"Shake 2 cl vodka, 2 cl peach liqueur, 2 cl passion fruit syrup, and 6 cl sours in a cocktail shaker with ice cubes",shake,2 | 6,cl | cubes,passion fruit syrup | vodka | peach | ice,shaker,,,
0,"In a shaker half-filled with ice cubes, combine the Scotch whiskey, dark crème de cacao, and milk",combine,,cubes,scotch whiskey | milk | ice,shaker,,,
1,Refrigerate overnight and serve in small chilled cups,serve | refrigerate,,cups,,,chilled,,
0,"Transfer the syrup to a small metal bowl and let stand to cool slightly, about 10 minutes",cool | let stand | transfer,10,minutes,syrup,bowl,,,
2,"Serve immediately and enjoy the bold, spicy flavors of the Bloody Dragon",serve,,,,,,,
1,Garnish with a slice of lime or a peach wedge for an extra touch of tropical flair,,,slice,lime | peach,,,,
1,Strain the mixture into a martini cocktail glass,strain,,,,cocktail glass,,,
3,Warm coffee glass with hot water for a minute or so to start,,,minute,coffee | water,glass,hot | warm,,
5,Add whipped cream and cap'n crunch cereal garnish,add,,,whipped cream,,,whipped,
1,"Add 2 oz Irish cream to the glass, letting it mix with the vodka and coffee liqueur",add | mix,2,oz,coffee liqueur | irish cream | vodka,glass,,,
2,But the chocolate completely overpowers the hazelnut that is somewhat present in a spoon full of Nutella by itself,,,,hazelnut | chocolate,spoon,,,
3,Enjoy your Caipirissima!,,,,,,,,
1,"Combine the whiskey, vermouth, and Campari in a cocktail mixing glass",combine,,,whiskey | campari,glass,,,
0,"Pour vodka, melon liqueur, and lime juice over ice",pour,,,melon liqueur | lime juice | vodka | ice,,,,
1,Add a handful of ice and stir well,add | stir,,handful,ice,,,,
4,Serve immediately and enjoy the refreshing and fruity flavors of the Hilty Dilty Cocktail,serve,,,,,,,
0,Pour in 1 oz citrus vodka,pour,1,oz,citrus vodka,,,,
1,Press the rim down into salt,rim | press,,,salt,press,,,
2,"Melt Chocolate Mixture: In a saucepan over low heat, combine the finely chopped chocolate, heavy cream, and milk",combine | heat,,,heavy cream | chocolate | milk,saucepan,,,
3,"Cover the jar and let the mixture infuse for 6 to 8 hours, to taste",infuse | taste,6 | 8,hours,,jar,,,
1,"Once fermented, place the bottles in the refrigerator to chill",place,,,,,,,
4,Top with boiling water and let steep for 4-5 minutes,top | steep,4 | 5,minutes,water,,,boiling,
1,"Shake over ice, strain",shake | strain,,,ice,,,,
1,Gently drop olive or lemon twist into the glass,drop,,drop,,glass,,,lemon twist | olive
5,"Pineapple Syrup: Combine 1 cup of pineapple juice with 1⁄2 cup of rich simple syrup , then shake to combine",shake | combine,1 | 2,cup,pineapple juice | simple syrup | pineapple | syrup,cup,,,
2,"In a medium saucepan, combine 0.5 cup brown sugar, 0.5 cup white sugar, and 2 1/4 cups apple juice",combine,0.5 | 2 1/4,cup,apple juice | sugar,cup | saucepan,,,
3,Rim edge of shot glasses with corn syrup and crushed takis,rim,,shot,syrup,glasses,hot,crushed,
